customer_id,age,income,gender,city,signup_date,spending_score,loyalty_level
96,55,2363.0,FEMALE,Bukhara,2022-04-06,86,Low
97,26,4339.0,Male,Samarkand,2022-04-07,90,Low
98,21,4316.0,male,Tashkent,2022-04-08,25,High
99,20,1019.0,FEMALE,Samarkand,2022-04-09,19,Medium
100,38,2798.0,male,Samarkand,2022-04-10,77,High
101,55,,Male,Samarkand,2022-04-11,90,Low
102,54,2530.0,male,Bukhara,2022-04-12,18,Medium
103,29,1825.0,male,Bukhara,2022-04-13,11,High
104,19,4743.0,male,Tashkent,2022-04-14,45,Medium
105,48,1458.0,Male,Tashkent,2022-04-15,70,Medium
106,21,503.0,male,Bukhara,2022-04-16,76,Medium
107,40,3163.0,Male,Samarkand,2022-04-17,75,Medium
108,18,3029.0,FEMALE,Bukhara,2022-04-18,60,High
109,58,926.0,Male,Bukhara,2022-04-19,96,High
110,37,2881.0,Male,Tashkent,2022-04-20,47,High
111,49,,Male,Samarkand,2022-04-21,57,Medium
112,39,2612.0,Male,Samarkand,2022-04-22,56,Medium
113,45,3993.0,FEMALE,Bukhara,2022-04-23,79,Medium
114,26,4596.0,FEMALE,Bukhara,2022-04-24,45,Low
115,50,4343.0,male,Samarkand,2022-04-25,16,High
116,52,1149.0,Male,Samarkand,2022-04-26,85,High
117,26,1334.0,Male,Tashkent,2022-04-27,34,High
118,53,4755.0,male,Bukhara,2022-04-28,3,High
119,58,1223.0,Male,Bukhara,2022-04-29,66,Medium
120,52,599.0,FEMALE,Bukhara,2022-04-30,71,Medium
121,44,,FEMALE,Samarkand,2022-05-01,10,Low
122,45,3957.0,Male,Tashkent,2022-05-02,19,Medium
123,40,4469.0,male,Tashkent,2022-05-03,83,Low
124,31,3125.0,FEMALE,Samarkand,2022-05-04,29,Low
125,36,4657.0,male,Tashkent,2022-05-05,81,Medium
126,57,2402.0,Male,Bukhara,2022-05-06,39,High
127,25,669.0,Male,Tashkent,2022-05-07,94,Low
128,54,3022.0,FEMALE,Samarkand,2022-05-08,17,Medium
129,32,1152.0,male,Tashkent,2022-05-09,60,High
130,20,1325.0,Male,Samarkand,2022-05-10,86,High
131,34,,male,Samarkand,2022-05-11,76,High
132,38,1585.0,FEMALE,Bukhara,2022-05-12,26,Low
133,21,4403.0,FEMALE,Bukhara,2022-05-13,22,Medium
134,19,573.0,male,Tashkent,2022-05-14,2,High
135,57,4464.0,FEMALE,Samarkand,2022-05-15,71,Low
136,38,890.0,male,Samarkand,2022-05-16,6,Low
137,25,4442.0,FEMALE,Samarkand,2022-05-17,68,Medium
138,59,3731.0,Male,Samarkand,2022-05-18,55,Medium
139,52,615.0,FEMALE,Bukhara,2022-05-19,12,Low
140,27,2671.0,male,Bukhara,2022-05-20,2,High
141,46,,Male,Samarkand,2022-05-21,89,Medium
142,19,1821.0,male,Tashkent,2022-05-22,63,Low
143,59,4451.0,FEMALE,Samarkand,2022-05-23,99,Low
144,59,2230.0,male,Samarkand,2022-05-24,72,Medium
145,57,1041.0,Male,Samarkand,2022-05-25,93,Low
146,52,2861.0,Male,Bukhara,2022-05-26,73,Low
147,37,4366.0,FEMALE,Bukhara,2022-05-27,81,Low
148,25,970.0,Male,Bukhara,2022-05-28,24,Low
149,19,4556.0,male,Tashkent,2022-05-29,73,Low
150,30,524.0,FEMALE,Bukhara,2022-05-30,20,Medium
151,32,,FEMALE,Tashkent,2022-05-31,53,Low
152,47,811.0,Male,Tashkent,2022-06-01,9,High
153,40,3281.0,Male,Bukhara,2022-06-02,55,Low
154,31,1750.0,FEMALE,Bukhara,2022-06-03,62,Medium
155,30,3196.0,Male,Samarkand,2022-06-04,40,Medium
156,25,3718.0,Male,Bukhara,2022-06-05,52,Low
157,26,3238.0,FEMALE,Bukhara,2022-06-06,91,Medium
158,42,1517.0,male,Bukhara,2022-06-07,35,Low
159,58,2901.0,FEMALE,Samarkand,2022-06-08,12,High
160,24,2172.0,FEMALE,Samarkand,2022-06-09,68,High
161,25,,FEMALE,Tashkent,2022-06-10,39,Medium
162,22,1051.0,male,Tashkent,2022-06-11,38,Low
163,30,3882.0,FEMALE,Samarkand,2022-06-12,51,Low
164,28,4948.0,male,Samarkand,2022-06-13,85,High
165,36,2723.0,male,Bukhara,2022-06-14,58,Low
166,21,3985.0,Male,Tashkent,2022-06-15,45,Low
167,49,3767.0,FEMALE,Tashkent,2022-06-16,27,Medium
168,56,532.0,male,Tashkent,2022-06-17,22,High
169,25,2326.0,male,Bukhara,2022-06-18,44,Medium
170,19,1095.0,male,Samarkand,2022-06-19,1,Medium
171,28,,male,Tashkent,2022-06-20,85,High
172,58,808.0,FEMALE,Samarkand,2022-06-21,45,Low
173,37,2231.0,FEMALE,Bukhara,2022-06-22,5,Low
174,28,1985.0,Male,Tashkent,2022-06-23,65,Medium
175,29,1179.0,Male,Samarkand,2022-06-24,24,Low
176,36,1376.0,Male,Tashkent,2022-06-25,87,Low
177,44,507.0,male,Tashkent,2022-06-26,87,High
178,18,4961.0,male,Bukhara,2022-06-27,60,Medium
179,30,3722.0,male,Bukhara,2022-06-28,83,Low
180,57,2800.0,FEMALE,Bukhara,2022-06-29,1,High
181,30,,FEMALE,Tashkent,2022-06-30,44,High
182,39,749.0,male,Tashkent,2022-07-01,13,Medium
183,35,1130.0,FEMALE,Bukhara,2022-07-02,49,High
184,41,4669.0,FEMALE,Tashkent,2022-07-03,57,Medium
185,58,4931.0,male,Samarkand,2022-07-04,37,High
186,39,4798.0,Male,Tashkent,2022-07-05,44,Medium
187,36,3099.0,male,Samarkand,2022-07-06,37,Medium
188,57,3153.0,Male,Tashkent,2022-07-07,31,High
189,21,1090.0,Male,Tashkent,2022-07-08,45,High
190,46,1286.0,FEMALE,Samarkand,2022-07-09,10,High
191,30,,Male,Tashkent,2022-07-10,23,High
192,24,1499.0,FEMALE,Tashkent,2022-07-11,53,High
193,53,1895.0,male,Tashkent,2022-07-12,61,Low
194,26,4619.0,FEMALE,Bukhara,2022-07-13,8,High
195,58,2084.0,FEMALE,Bukhara,2022-07-14,63,Medium
196,22,4761.0,FEMALE,Bukhara,2022-07-15,60,Low
197,25,2800.0,Male,Samarkand,2022-07-16,71,Medium
198,44,4101.0,Male,Tashkent,2022-07-17,78,Low
199,40,2755.0,male,Bukhara,2022-07-18,91,High
200,41,3757.0,FEMALE,Tashkent,2022-07-19,1,Medium
201,56,,FEMALE,Bukhara,2022-07-20,77,High
202,23,3067.0,Male,Samarkand,2022-07-21,27,Low
203,36,1900.0,male,Tashkent,2022-07-22,33,Low
204,46,2814.0,FEMALE,Bukhara,2022-07-23,13,Medium
205,25,1137.0,male,Samarkand,2022-07-24,61,High
206,19,746.0,Male,Tashkent,2022-07-25,30,Low
207,48,2443.0,FEMALE,Tashkent,2022-07-26,87,Low
208,28,1640.0,male,Tashkent,2022-07-27,19,Medium
209,37,3527.0,FEMALE,Samarkand,2022-07-28,10,Medium
210,27,4970.0,FEMALE,Bukhara,2022-07-29,34,Low
211,42,,FEMALE,Bukhara,2022-07-30,26,Low
212,22,4232.0,male,Bukhara,2022-07-31,48,Medium
213,18,2709.0,Male,Tashkent,2022-08-01,36,Medium
214,31,3577.0,Male,Samarkand,2022-08-02,97,Medium
215,54,1521.0,FEMALE,Bukhara,2022-08-03,72,High
216,23,1488.0,male,Bukhara,2022-08-04,65,Low
217,43,1874.0,FEMALE,Tashkent,2022-08-05,45,High
218,37,1232.0,male,Samarkand,2022-08-06,22,Low
219,42,613.0,Male,Bukhara,2022-08-07,52,Medium
220,45,4195.0,Male,Tashkent,2022-08-08,94,Low
221,43,,male,Bukhara,2022-08-09,20,Medium
222,34,2852.0,Male,Bukhara,2022-08-10,1,Low
223,43,4236.0,male,Samarkand,2022-08-11,12,High
224,37,652.0,male,Samarkand,2022-08-12,40,Medium
225,47,2610.0,Male,Bukhara,2022-08-13,80,Medium
226,31,539.0,Male,Samarkand,2022-08-14,43,Medium
227,58,1708.0,Male,Samarkand,2022-08-15,73,Low
228,51,2526.0,male,Tashkent,2022-08-16,24,High
229,20,1051.0,Male,Bukhara,2022-08-17,17,High
230,33,3516.0,FEMALE,Samarkand,2022-08-18,32,Low
231,30,,FEMALE,Bukhara,2022-08-19,22,High
232,23,2795.0,FEMALE,Bukhara,2022-08-20,80,Medium
233,57,2204.0,male,Samarkand,2022-08-21,67,Low
234,34,2423.0,male,Samarkand,2022-08-22,76,Medium
235,28,4334.0,male,Tashkent,2022-08-23,70,Low
236,24,3392.0,Male,Samarkand,2022-08-24,85,High
237,37,2270.0,male,Bukhara,2022-08-25,81,Medium
238,39,4435.0,Male,Bukhara,2022-08-26,95,Medium
239,57,3239.0,FEMALE,Tashkent,2022-08-27,69,Medium
240,23,1614.0,FEMALE,Bukhara,2022-08-28,62,High
241,32,,Male,Bukhara,2022-08-29,91,Medium
242,19,2323.0,Male,Tashkent,2022-08-30,65,Low
243,31,3455.0,male,Tashkent,2022-08-31,25,High
244,56,3324.0,male,Tashkent,2022-09-01,42,Medium
245,32,4924.0,male,Bukhara,2022-09-02,17,Low
246,58,3088.0,male,Samarkand,2022-09-03,9,Low
247,33,3493.0,Male,Tashkent,2022-09-04,31,High
248,41,1309.0,male,Samarkand,2022-09-05,45,Medium
249,21,2410.0,male,Bukhara,2022-09-06,34,High
250,26,3766.0,Male,Samarkand,2022-09-07,74,Low
251,53,,Male,Tashkent,2022-09-08,35,Low
252,18,2831.0,male,Bukhara,2022-09-09,6,Low
253,24,1053.0,FEMALE,Tashkent,2022-09-10,66,Medium
254,53,3886.0,Male,Samarkand,2022-09-11,33,High
255,58,1936.0,Male,Tashkent,2022-09-12,77,Low
256,30,1562.0,male,Samarkand,2022-09-13,93,High
257,38,1134.0,Male,Samarkand,2022-09-14,35,Medium
258,47,3024.0,male,Tashkent,2022-09-15,50,Low
259,39,759.0,Male,Samarkand,2022-09-16,90,High
260,58,993.0,FEMALE,Tashkent,2022-09-17,67,High
261,21,,Male,Bukhara,2022-09-18,13,Low
262,49,570.0,Male,Bukhara,2022-09-19,35,Low
263,31,4317.0,male,Bukhara,2022-09-20,72,Medium
264,23,4254.0,male,Samarkand,2022-09-21,79,Medium
265,29,1430.0,FEMALE,Tashkent,2022-09-22,6,High
266,46,3369.0,FEMALE,Samarkand,2022-09-23,23,High
267,21,2225.0,male,Samarkand,2022-09-24,22,Medium
268,39,4854.0,male,Samarkand,2022-09-25,16,High
269,18,2485.0,male,Samarkand,2022-09-26,92,Medium
270,20,1825.0,FEMALE,Tashkent,2022-09-27,48,Low
271,57,,male,Samarkand,2022-09-28,72,Low
272,34,2129.0,male,Bukhara,2022-09-29,15,Low
273,43,2239.0,FEMALE,Bukhara,2022-09-30,91,High
274,46,3109.0,male,Tashkent,2022-10-01,21,High
275,51,4452.0,Male,Tashkent,2022-10-02,10,Medium
276,47,2359.0,Male,Bukhara,2022-10-03,78,Low
277,56,2305.0,FEMALE,Tashkent,2022-10-04,51,High
278,47,2895.0,male,Samarkand,2022-10-05,65,High
279,36,3264.0,male,Tashkent,2022-10-06,55,Medium
280,57,2057.0,FEMALE,Samarkand,2022-10-07,49,High
281,43,,Male,Bukhara,2022-10-08,15,Medium
282,18,908.0,FEMALE,Bukhara,2022-10-09,7,Medium
283,27,2854.0,FEMALE,Samarkand,2022-10-10,65,Medium
284,52,1310.0,Male,Bukhara,2022-10-11,79,Medium
285,20,3522.0,male,Samarkand,2022-10-12,51,Low
286,54,4606.0,FEMALE,Tashkent,2022-10-13,27,Medium
287,51,2793.0,male,Tashkent,2022-10-14,64,Low
288,40,1293.0,FEMALE,Tashkent,2022-10-15,86,High
289,19,988.0,FEMALE,Tashkent,2022-10-16,58,Low
290,28,2199.0,Male,Bukhara,2022-10-17,10,High
291,54,,FEMALE,Samarkand,2022-10-18,3,Low
292,52,1065.0,FEMALE,Samarkand,2022-10-19,87,Low
293,45,3119.0,FEMALE,Bukhara,2022-10-20,75,High
294,34,2712.0,Male,Samarkand,2022-10-21,79,High
295,20,1612.0,male,Samarkand,2022-10-22,49,Low
296,39,2274.0,FEMALE,Samarkand,2022-10-23,87,High
297,51,567.0,male,Tashkent,2022-10-24,70,Medium
298,33,3082.0,FEMALE,Tashkent,2022-10-25,13,Medium
299,20,4212.0,male,Samarkand,2022-10-26,72,Low
300,57,3661.0,male,Bukhara,2022-10-27,47,Medium
301,24,,FEMALE,Bukhara,2022-10-28,25,High
302,29,3404.0,Male,Tashkent,2022-10-29,10,Medium
303,45,4960.0,male,Samarkand,2022-10-30,89,Medium
304,33,4793.0,FEMALE,Samarkand,2022-10-31,65,Low
305,53,1761.0,male,Bukhara,2022-11-01,54,Low
306,38,2391.0,Male,Samarkand,2022-11-02,84,Low
307,22,2975.0,FEMALE,Samarkand,2022-11-03,4,High
308,53,533.0,male,Samarkand,2022-11-04,11,Medium
309,41,2389.0,FEMALE,Tashkent,2022-11-05,21,Medium
310,56,2585.0,Male,Bukhara,2022-11-06,59,Medium
311,55,,male,Tashkent,2022-11-07,17,Medium
312,21,2856.0,FEMALE,Tashkent,2022-11-08,68,Low
313,48,850.0,male,Samarkand,2022-11-09,72,High
314,52,1031.0,FEMALE,Samarkand,2022-11-10,44,Low
315,21,4698.0,male,Samarkand,2022-11-11,66,High
316,20,2650.0,male,Bukhara,2022-11-12,70,High
317,48,4714.0,Male,Tashkent,2022-11-13,64,Low
318,28,621.0,FEMALE,Bukhara,2022-11-14,87,Medium
319,30,923.0,Male,Bukhara,2022-11-15,56,Medium
320,26,713.0,male,Tashkent,2022-11-16,55,Low
321,56,,FEMALE,Samarkand,2022-11-17,10,High
322,38,3268.0,Male,Samarkand,2022-11-18,75,Medium
323,38,2773.0,FEMALE,Bukhara,2022-11-19,93,Low
324,36,4661.0,FEMALE,Bukhara,2022-11-20,18,High
325,20,3139.0,FEMALE,Bukhara,2022-11-21,43,Medium
326,27,3895.0,male,Tashkent,2022-11-22,52,High
327,34,4439.0,male,Bukhara,2022-11-23,34,Low
328,33,2653.0,Male,Tashkent,2022-11-24,46,High
329,18,1426.0,Male,Tashkent,2022-11-25,37,Medium
330,22,617.0,male,Samarkand,2022-11-26,64,Low
331,38,,Male,Tashkent,2022-11-27,72,Low
332,19,1682.0,male,Bukhara,2022-11-28,69,Medium
333,57,2041.0,FEMALE,Tashkent,2022-11-29,48,Low
334,55,556.0,male,Samarkand,2022-11-30,6,High
335,23,4879.0,Male,Samarkand,2022-12-01,88,High
336,24,843.0,FEMALE,Samarkand,2022-12-02,75,High
337,59,4770.0,male,Bukhara,2022-12-03,39,Medium
338,24,2599.0,male,Samarkand,2022-12-04,36,Low
339,51,3091.0,Male,Bukhara,2022-12-05,7,Medium
340,45,2073.0,Male,Tashkent,2022-12-06,21,Low
341,36,,Male,Tashkent,2022-12-07,43,High
342,46,3487.0,FEMALE,Tashkent,2022-12-08,88,Low
343,49,4715.0,Male,Samarkand,2022-12-09,61,Medium
344,39,4737.0,Male,Bukhara,2022-12-10,38,Low
345,27,2306.0,FEMALE,Bukhara,2022-12-11,66,Low
346,59,3831.0,FEMALE,Tashkent,2022-12-12,3,High
347,47,1799.0,male,Samarkand,2022-12-13,35,Low
348,38,2965.0,male,Tashkent,2022-12-14,23,Low
349,48,3079.0,male,Samarkand,2022-12-15,30,Low
350,38,3140.0,Male,Samarkand,2022-12-16,72,Medium
351,49,,male,Tashkent,2022-12-17,81,High
352,28,1836.0,male,Bukhara,2022-12-18,76,Medium
353,54,3327.0,FEMALE,Samarkand,2022-12-19,2,High
354,27,2590.0,Male,Tashkent,2022-12-20,50,High
355,38,711.0,FEMALE,Tashkent,2022-12-21,91,High
356,56,4973.0,FEMALE,Samarkand,2022-12-22,58,Low
357,43,2817.0,FEMALE,Bukhara,2022-12-23,95,High
358,23,1702.0,male,Tashkent,2022-12-24,35,Medium
359,34,1975.0,FEMALE,Samarkand,2022-12-25,20,High
360,44,3347.0,FEMALE,Tashkent,2022-12-26,39,Medium
361,42,,male,Samarkand,2022-12-27,88,Medium
362,54,4596.0,FEMALE,Samarkand,2022-12-28,77,High
363,59,3677.0,male,Bukhara,2022-12-29,64,High
364,36,3597.0,FEMALE,Bukhara,2022-12-30,85,High
365,19,3145.0,male,Bukhara,2022-12-31,15,Medium
366,50,1076.0,FEMALE,Tashkent,2023-01-01,98,High
367,22,3378.0,male,Samarkand,2023-01-02,4,Medium
368,20,2056.0,Male,Tashkent,2023-01-03,69,Low
369,38,4587.0,Male,Samarkand,2023-01-04,41,Medium
370,38,3756.0,male,Samarkand,2023-01-05,93,High
371,23,,male,Bukhara,2023-01-06,30,Low
372,55,3648.0,male,Tashkent,2023-01-07,48,Medium
373,24,2673.0,male,Samarkand,2023-01-08,25,High
374,22,4995.0,male,Tashkent,2023-01-09,61,High
375,28,1234.0,Male,Tashkent,2023-01-10,17,Low
376,55,3617.0,FEMALE,Bukhara,2023-01-11,42,High
377,19,2459.0,male,Bukhara,2023-01-12,82,Low
378,54,1711.0,male,Bukhara,2023-01-13,4,High
379,28,643.0,Male,Samarkand,2023-01-14,54,Low
380,28,1172.0,FEMALE,Bukhara,2023-01-15,43,Low
381,48,,male,Bukhara,2023-01-16,7,Medium
382,36,1403.0,Male,Bukhara,2023-01-17,31,Low
383,39,3319.0,Male,Bukhara,2023-01-18,59,Low
384,43,3393.0,male,Tashkent,2023-01-19,91,Low
385,57,4941.0,male,Bukhara,2023-01-20,69,Low
386,21,2621.0,Male,Tashkent,2023-01-21,35,High
387,35,2425.0,Male,Bukhara,2023-01-22,10,High
388,31,4616.0,male,Bukhara,2023-01-23,42,Low
389,26,996.0,Male,Bukhara,2023-01-24,67,Low
390,20,1520.0,FEMALE,Samarkand,2023-01-25,10,Medium
391,32,,Male,Samarkand,2023-01-26,64,Medium
392,18,3291.0,Male,Samarkand,2023-01-27,90,Medium
393,32,3693.0,FEMALE,Tashkent,2023-01-28,1,Medium
394,18,4002.0,FEMALE,Tashkent,2023-01-29,64,High
395,59,3380.0,FEMALE,Samarkand,2023-01-30,1,High
396,57,1017.0,FEMALE,Samarkand,2023-01-31,67,Medium
397,45,2595.0,Male,Bukhara,2023-02-01,2,Low
398,34,3134.0,male,Samarkand,2023-02-02,4,Low
399,22,4335.0,male,Bukhara,2023-02-03,66,Low
400,18,2215.0,FEMALE,Samarkand,2023-02-04,69,Low
401,43,,FEMALE,Samarkand,2023-02-05,73,Low
402,27,3465.0,Male,Samarkand,2023-02-06,55,Low
403,43,2638.0,FEMALE,Bukhara,2023-02-07,35,Low
404,20,1516.0,FEMALE,Samarkand,2023-02-08,66,Medium
405,29,3882.0,Male,Tashkent,2023-02-09,48,Medium
406,35,3833.0,FEMALE,Samarkand,2023-02-10,24,High
407,54,623.0,Male,Tashkent,2023-02-11,20,High
408,23,2568.0,Male,Bukhara,2023-02-12,10,Low
409,31,1080.0,Male,Tashkent,2023-02-13,8,Low
410,39,3955.0,FEMALE,Tashkent,2023-02-14,57,High
411,32,,FEMALE,Bukhara,2023-02-15,48,High
412,41,1918.0,male,Samarkand,2023-02-16,29,High
413,18,647.0,FEMALE,Samarkand,2023-02-17,36,High
414,19,2084.0,male,Tashkent,2023-02-18,35,Low
415,19,4882.0,FEMALE,Samarkand,2023-02-19,49,Low
416,31,3947.0,male,Tashkent,2023-02-20,21,Medium
417,59,2297.0,Male,Tashkent,2023-02-21,49,Medium
418,29,3534.0,FEMALE,Samarkand,2023-02-22,22,High
419,57,4188.0,Male,Samarkand,2023-02-23,98,Low
420,18,2684.0,FEMALE,Bukhara,2023-02-24,17,High
421,24,,FEMALE,Tashkent,2023-02-25,13,Low
422,28,4141.0,male,Bukhara,2023-02-26,72,High
423,36,2882.0,male,Bukhara,2023-02-27,87,High
424,41,3717.0,Male,Samarkand,2023-02-28,78,Low
425,27,726.0,male,Bukhara,2023-03-01,66,High
426,48,3175.0,Male,Samarkand,2023-03-02,68,Low
427,22,2592.0,male,Bukhara,2023-03-03,10,High
428,47,2402.0,Male,Samarkand,2023-03-04,47,Low
429,29,1608.0,Male,Samarkand,2023-03-05,58,Medium
430,24,3850.0,male,Bukhara,2023-03-06,88,High
431,25,,male,Bukhara,2023-03-07,80,Medium
432,45,2001.0,FEMALE,Bukhara,2023-03-08,94,Medium
433,40,3407.0,FEMALE,Samarkand,2023-03-09,80,High
434,32,1901.0,FEMALE,Bukhara,2023-03-10,61,High
435,31,3586.0,FEMALE,Samarkand,2023-03-11,86,Medium
436,46,3662.0,FEMALE,Bukhara,2023-03-12,93,Low
437,31,3685.0,FEMALE,Samarkand,2023-03-13,59,High
438,43,4411.0,FEMALE,Bukhara,2023-03-14,29,Low
439,40,3655.0,Male,Samarkand,2023-03-15,68,High
440,23,2953.0,male,Bukhara,2023-03-16,82,Low
441,22,,FEMALE,Bukhara,2023-03-17,74,Medium
442,44,2383.0,FEMALE,Bukhara,2023-03-18,41,High
443,31,731.0,FEMALE,Bukhara,2023-03-19,31,Low
444,19,4573.0,Male,Tashkent,2023-03-20,84,Medium
445,28,691.0,male,Samarkand,2023-03-21,59,High
446,48,3178.0,male,Bukhara,2023-03-22,81,Medium
447,19,2752.0,male,Tashkent,2023-03-23,64,Medium
448,20,2043.0,male,Bukhara,2023-03-24,69,Medium
449,59,708.0,FEMALE,Samarkand,2023-03-25,2,Medium
450,21,780.0,Male,Tashkent,2023-03-26,72,Low
451,44,,male,Bukhara,2023-03-27,27,Low
452,53,1651.0,Male,Bukhara,2023-03-28,2,Low
453,46,4279.0,FEMALE,Tashkent,2023-03-29,75,High
454,46,1861.0,Male,Tashkent,2023-03-30,15,Low
455,18,3481.0,Male,Tashkent,2023-03-31,61,Medium
456,21,2185.0,Male,Samarkand,2023-04-01,31,Medium
457,18,4744.0,FEMALE,Samarkand,2023-04-02,90,Medium
458,33,3747.0,male,Tashkent,2023-04-03,89,Medium
459,41,2020.0,Male,Tashkent,2023-04-04,90,Low
460,59,3013.0,male,Bukhara,2023-04-05,81,Medium
461,58,,male,Tashkent,2023-04-06,69,Low
